Class Modifier,Class Name,Class Extension,Method Type,Method Name,Primitive Type,VariableDeclarationExpr,VariableDeclaratorId,IntegerLiteralExpr,WhileStmt,AssignExpr,NameExpr,BinaryExpr,UnaryExpr,IfStmt,MethodCallExpr,FieldAccessExpr,Parameter,ReferenceType,ReturnStmt,NullLiteralExpr,SuperExpr,CastExpr,ObjectCreationExpr,Other
Class Modifier,1,0.9,0.9,0.8,0.7,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.5,0.3,0.2,0.4,0.2,0.1,0.1,0.2,0.3,0.1
Class Name,0.9,1,0.9,0.8,0.9,0.2,0.2,0.2,0.1,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.3,0.5,0.2,0.1,0.1,0.2,0.4,0.1
Class Extension,0.9,0.9,1,0.6,0.6,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.3,0.2,0.1,0.2,0.2,0.3,0.1
Method Type,0.8,0.8,0.6,1,0.9,0.4,0.4,0.4,0.1,0.2,0.4,0.3,0.3,0.3,0.2,0.7,0.6,0.5,0.5,0.3,0.1,0.3,0.2,0.3,0.1
Method Name,0.7,0.9,0.6,0.9,1,0.3,0.5,0.4,0.1,0.2,0.5,0.2,0.2,0.2,0.2,0.9,0.6,0.2,0.5,0.2,0.1,0.2,0.2,0.5,0.1
Primitive Type,0.2,0.2,0.2,0.4,0.3,1,0.8,0.8,0.1,0.3,0.7,0.7,0.4,0.4,0.3,0.2,0.3,0.6,0.6,0.2,0.1,0.2,0.9,0.5,0.1
VariableDeclarationExpr,0.2,0.2,0.2,0.4,0.5,0.8,1,0.9,0.6,0.4,0.8,0.7,0.5,0.4,0.4,0.5,0.8,0.6,0.7,0.2,0.6,0.4,0.8,0.8,0.1
VariableDeclaratorId,0.2,0.2,0.2,0.4,0.4,0.8,0.9,1,0.8,0.3,0.7,0.6,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.8,0.5,0.5,0.5,0.1
IntegerLiteralExpr,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.8,1,0.1,0.9,0.8,0.1,0.1,0.2,0.4,0.6,0.4,0.5,0.9,0.7,0.7,0.8,0.7,0.1
WhileStmt,0.3,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.1,1,0.4,0.5,0.8,0.7,0.8,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.3,0.2,0.1
AssignExpr,0.2,0.3,0.2,0.4,0.5,0.7,0.8,0.7,0.9,0.4,1,0.9,0.7,0.7,0.6,0.3,0.3,0.2,0.3,0.2,0.8,0.6,0.7,0.5,0.1
NameExpr,0.2,0.3,0.2,0.3,0.2,0.7,0.7,0.6,0.8,0.5,0.9,1,0.7,0.6,0.5,0.4,0.8,0.8,0.7,0.4,0.9,0.6,0.9,0.6,0.1
BinaryExpr,0.2,0.3,0.2,0.3,0.2,0.4,0.5,0.3,0.1,0.8,0.7,0.7,1,0.8,0.9,0.6,0.6,0.4,0.4,0.5,0.6,0.3,0.6,0.3,0.1
UnaryExpr,0.2,0.3,0.2,0.3,0.2,0.4,0.4,0.3,0.1,0.7,0.7,0.6,0.8,1,0.6,0.4,0.5,0.7,0.5,0.8,0.3,0.6,0.4,0.2,0.1
IfStmt,0.3,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.6,0.5,0.9,0.6,1,0.7,0.6,0.5,0.4,0.3,0.6,0.6,0.4,0.3,0.1
MethodCallExpr,0.5,0.5,0.3,0.7,0.9,0.2,0.5,0.4,0.4,0.4,0.3,0.4,0.6,0.4,0.7,1,0.4,0.5,0.6,0.8,0.5,0.5,0.4,0.8,0.1
FieldAccessExpr,0.3,0.2,0.3,0.6,0.6,0.3,0.8,0.3,0.6,0.4,0.3,0.8,0.6,0.5,0.6,0.4,1,0.6,0.6,0.2,0.3,0.3,0.3,0.7,0.1
Parameter,0.2,0.3,0.5,0.5,0.2,0.6,0.6,0.2,0.4,0.3,0.2,0.8,0.4,0.7,0.5,0.5,0.6,1,0.7,0.8,0.5,0.4,0.4,0.6,0.1
ReferenceType,0.4,0.5,0.3,0.5,0.5,0.6,0.7,0.2,0.5,0.3,0.3,0.7,0.4,0.5,0.4,0.6,0.6,0.7,1,0.8,0.5,0.4,0.5,0.9,0.1
ReturnStmt,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.4,0.5,0.8,0.3,0.8,0.2,0.8,0.8,1,0.8,0.5,0.6,0.3,0.1
